Upper Tier Local Authorities Code,Upper Tier Local Authorities Label,Population Density
E06000001,Hartlepool,985.5
E06000002,Middlesbrough,2671.2
E06000003,Redcar and Cleveland,557.1
E06000004,Stockton-on-Tees,959.3
E06000005,Darlington,545.9
E06000006,Halton,1624.3
E06000007,Warrington,1168
E06000008,Blackburn with Darwen,1129.4
E06000009,Blackpool,4041.1
E06000010,Kingston upon Hull,3730.1
E06000011,East Riding of Yorkshire,142.4
E06000012,North East Lincolnshire,815
E06000013,North Lincolnshire,200.4
E06000014,York,745.8
E06000015,Derby,3349.5
E06000016,Leicester,5027.2
E06000017,Rutland,107.5
E06000018,Nottingham,4337.6
E06000019,Herefordshire,85.8
E06000020,Telford and Wrekin,639.1
E06000021,Stoke-on-Trent,2764.8
E06000022,Bath and North East Somerset,559.2
E06000023,Bristol,4308.1
E06000024,North Somerset,579.9
E06000025,South Gloucestershire,584.3
E06000026,Plymouth,3314.8
E06000027,Torbay,2215.6
E06000030,Swindon,1014.4
E06000031,Peterborough,628.1
E06000032,Luton,5196
E06000033,Southend-on-Sea,4335.6
E06000034,Thurrock,1074.2
E06000035,Medway,1444.2
E06000036,Bracknell Forest,1139.2
E06000037,West Berkshire,229.3
E06000038,Reading,4312.6
E06000039,Slough,4871.5
E06000040,Windsor and Maidenhead,781.1
E06000041,Wokingham,991.7
E06000042,Milton Keynes,930.1
E06000043,Brighton and Hove,3345.3
E06000044,Portsmouth,5149.8
E06000045,Southampton,4990.5
E06000046,Isle of Wight,370
E06000047,County Durham,234.5
E06000049,Cheshire East,341.9
E06000050,Cheshire West and Chester,388.2
E06000051,Shropshire,101.2
E06000052,Cornwall,160.9
E06000053,Isles of Scilly,125.9
E06000054,Wiltshire,156.8
E06000055,Bedford,388.8
E06000056,Central Bedfordshire,411.2
E06000057,Northumberland,63.9
E06000058,"Bournemouth, Christchurch and Poole",2469.2
E06000059,Dorset,152.4
E06000060,Buckinghamshire,353.4
E06000061,North Northamptonshire,364.4
E06000062,West Northamptonshire,309.1
E08000001,Bolton,2117
E08000002,Bury,1948.6
E08000003,Manchester,4772.7
E08000004,Oldham,1700.5
E08000005,Rochdale,1415.6
E08000006,Salford,2777.2
E08000007,Stockport,2338.3
E08000008,Tameside,2239.7
E08000009,Trafford,2216.7
E08000010,Wigan,1750
E08000011,Knowsley,1787
E08000012,Liverpool,4346.1
E08000013,St. Helens,1343.6
E08000014,Sefton,1783.4
E08000015,Wirral,1989.7
E08000016,Barnsley,743.3
E08000017,Doncaster,542.4
E08000018,Rotherham,927.7
E08000019,Sheffield,1512.5
E08000021,Newcastle upon Tyne,2646.1
E08000022,North Tyneside,2538.6
E08000023,South Tyneside,2294.2
E08000024,Sunderland,1994.6
E08000025,Birmingham,4275.4
E08000026,Coventry,3500.7
E08000027,Dudley,3302.4
E08000028,Sandwell,3994.9
E08000029,Solihull,1212.9
E08000030,Walsall,2733.1
E08000031,Wolverhampton,3797.9
E08000032,Bradford,1491.2
E08000033,Calderdale,567.8
E08000034,Kirklees,1060.3
E08000035,Leeds,1471.7
E08000036,Wakefield,1043.6
E08000037,Gateshead,1378
E09000001,City of London,2975
E09000002,Barking and Dagenham,6065.8
E09000003,Barnet,4488.7
E09000004,Bexley,4070.7
E09000005,Brent,7859.6
E09000006,Bromley,2197.7
E09000007,Camden,9640.9
E09000008,Croydon,4516
E09000009,Ealing,6611.6
E09000010,Enfield,4082.5
E09000011,Greenwich,6108.6
E09000012,Hackney,13593.3
E09000013,Hammersmith and Fulham,11161.1
E09000014,Haringey,8930.2
E09000015,Harrow,5175.4
E09000016,Havering,2332.3
E09000017,Hillingdon,2644
E09000018,Hounslow,5148
E09000019,Islington,14574.9
E09000020,Kensington and Chelsea,11816.5
E09000021,Kingston upon Thames,4512.1
E09000022,Lambeth,11839.1
E09000023,Lewisham,8551.5
E09000024,Merton,5721.6
E09000025,Newham,9690.1
E09000026,Redbridge,5501.9
E09000027,Richmond upon Thames,3401.9
E09000028,Southwark,10659
E09000029,Sutton,4781
E09000030,Tower Hamlets,15702.9
E09000031,Waltham Forest,7173.3
E09000032,Wandsworth,9560
E09000033,Westminster,9514.2
E10000003,Cambridgeshire,222.8
E10000006,Cumbria,73.9
E10000007,Derbyshire,312
E10000008,Devon,123.7
E10000011,East Sussex,319.5
E10000012,Essex,434.7
E10000013,Gloucestershire,243.2
E10000014,Hampshire,380.8
E10000015,Hertfordshire,729.6
E10000016,Kent,444.7
E10000017,Lancashire,426.9
E10000018,Leicestershire,342
E10000019,Lincolnshire,129.4
E10000020,Norfolk,170.2
E10000023,North Yorkshire,76.6
E10000024,Nottinghamshire,395.6
E10000025,Oxfordshire,278.4
E10000027,Somerset,165.7
E10000028,Staffordshire,334.4
E10000029,Suffolk,200.2
E10000030,Surrey,723.7
E10000031,Warwickshire,302.1
E10000032,West Sussex,443.3
E10000034,Worcestershire,346.8