Year,Hydro,Wind,Solar,Solid Biofuels,Value
1990,1,0,0,0,121430.0
1991,1,0,0,0,122482.0
1992,1,0,0,0,124124.0
1993,1,0,0,0,125136.0
1994,1,0,0,0,126147.0
1995,1,0,0,0,129232.0
1996,1,0,0,0,130454.0
1997,1,0,0,0,131513.0
1998,1,0,0,0,132101.0
1999,1,0,0,0,133477.0
2000,1,0,0,0,134729.3
2001,1,0,0,0,135057.918
2002,1,0,0,0,135437.918
2003,1,0,0,0,135860.918
2004,1,0,0,0,137713.044
2005,1,0,0,0,139271.119
2006,1,0,0,0,139516.228
2007,1,0,0,0,140305.321
2008,1,0,0,0,140856.082
2009,1,0,0,0,142130.622
2010,1,0,0,0,142997.355
2011,1,0,0,0,144343.333
2012,1,0,0,0,144944.169
2013,1,0,0,0,146049.203
2014,1,0,0,0,146206.139
2015,1,0,0,0,148195.423
2016,1,0,0,0,149715.15
2017,1,0,0,0,150365.108
2018,1,0,0,0,150366.749
2019,1,0,0,0,150796.149
2020,1,0,0,0,150771.285
1990,0,1,0,0,443.981
1991,0,1,0,0,613.859
1992,0,1,0,0,812.449
1993,0,1,0,0,1070.599
1994,0,1,0,0,1473.737
1995,0,1,0,0,2230.999
1996,0,1,0,0,3115.721
1997,0,1,0,0,4233.547
1998,0,1,0,0,5893.682
1999,0,1,0,0,8701.645
2000,0,1,0,0,12297.515
2001,0,1,0,0,16844.953
2002,0,1,0,0,22604.631
2003,0,1,0,0,27251.316
2004,0,1,0,0,33145.737
2005,0,1,0,0,38760.48
2006,0,1,0,0,45586.09
2007,0,1,0,0,53415.798
2008,0,1,0,0,60111.284
2009,0,1,0,0,70852.527
2010,0,1,0,0,78937.009
2011,0,1,0,0,87406.53
2012,0,1,0,0,97148.141
2013,0,1,0,0,105638.215
2014,0,1,0,0,115630.491
2015,0,1,0,0,127168.644
2016,0,1,0,0,138010.879
2017,0,1,0,0,148920.39
2018,0,1,0,0,157166.757
2019,0,1,0,0,167162.151
2020,0,1,0,0,176985.204
1990,0,0,1,0,443.981
1991,0,0,1,0,613.859
1992,0,0,1,0,812.449
1993,0,0,1,0,1070.599
1994,0,0,1,0,1473.737
1995,0,0,1,0,2230.999
1996,0,0,1,0,3115.721
1997,0,0,1,0,4233.547
1998,0,0,1,0,5893.682
1999,0,0,1,0,8701.645
2000,0,0,1,0,12297.515
2001,0,0,1,0,16844.953
2002,0,0,1,0,22604.631
2003,0,0,1,0,27251.316
2004,0,0,1,0,33145.737
2005,0,0,1,0,38760.48
2006,0,0,1,0,45586.09
2007,0,0,1,0,53415.798
2008,0,0,1,0,60111.284
2009,0,0,1,0,70852.527
2010,0,0,1,0,78937.009
2011,0,0,1,0,87406.53
2012,0,0,1,0,97148.141
2013,0,0,1,0,105638.215
2014,0,0,1,0,115630.491
2015,0,0,1,0,127168.644
2016,0,0,1,0,138010.879
2017,0,0,1,0,148920.39
2018,0,0,1,0,157166.757
2019,0,0,1,0,167162.151
2020,0,0,1,0,176985.204
1990,0,0,0,1,2987
1991,0,0,0,1,3028
1992,0,0,0,1,3356
1993,0,0,0,1,3459
1994,0,0,0,1,3672
1995,0,0,0,1,3820.595
1996,0,0,0,1,4053.396
1997,0,0,0,1,3947.681
1998,0,0,0,1,3948.777
1999,0,0,0,1,4426.246
2000,0,0,0,1,5158.461
2001,0,0,0,1,5587.041
2002,0,0,0,1,5790.134
2003,0,0,0,1,6798.887
2004,0,0,0,1,7343.942
2005,0,0,0,1,9240.99
2006,0,0,0,1,10359.78
2007,0,0,0,1,10070.852
2008,0,0,0,1,10857.763
2009,0,0,0,1,11809.317
2010,0,0,0,1,12557.326
2011,0,0,0,1,13211.875
2012,0,0,0,1,13455.021
2013,0,0,0,1,13118.314
2014,0,0,0,1,14008.73
2015,0,0,0,1,14213.649
2016,0,0,0,1,14351.844
2017,0,0,0,1,15037.221
2018,0,0,0,1,15558.116
2019,0,0,0,1,15749.93
2020,0,0,0,1,15560.778